"","valor","pais_en","count"
"1",1,"Argentina",9
"2",1,"Bolivia",6
"3",1,"Brazil",7
"4",1,"Chile",7
"5",1,"Colombia",6
"6",1,"Costa Rica",2
"7",1,"Cuba",4
"8",1,"Dominican Republic",4
"9",1,"Ecuador",5
"10",1,"El Salvador",3
"11",1,"Grenada",3
"12",1,"Guatemala",4
"13",1,"Guyana",7
"14",1,"Haiti",2
"15",1,"Honduras",4
"16",1,"Jamaica",4
"17",1,"Mexico",10
"18",1,"Nicaragua",8
"19",1,"Panama",4
"20",1,"Paraguay",8
"21",1,"Peru",4
"22",1,"Puerto Rico",3
"23",1,"Suriname",3
"24",1,"Uruguay",3
"25",1,"Venezuela",7
"26",2,"Argentina",10
"27",2,"Brazil",12
"28",2,"Chile",9
"29",2,"Colombia",7
"30",2,"Cuba",5
"31",2,"Dominican Republic",1
"32",2,"Ecuador",1
"33",2,"Guatemala",1
"34",2,"Honduras",1
"35",2,"Mexico",11
"36",2,"Panama",1
"37",2,"Paraguay",2
"38",2,"Peru",4
"39",2,"Puerto Rico",3
"40",2,"Venezuela",1
"41",3,"Argentina",1
"42",3,"Brazil",1
"43",3,"Colombia",1
"44",3,"Dominican Republic",1
"45",3,"Mexico",1
"46",3,"Panama",1
